,Query,Sentiment_Level
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
280,Adamawa North East 9mobile 2G Very bad network,0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
256,Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
256,Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
256,Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
280,Adamawa North East 9mobile 2G Very bad network,0
256,Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
280,Adamawa North East 9mobile 2G Very bad network,0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
280,Adamawa North East 9mobile 2G Very bad network,0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
256,Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
176,Oyo South West MTN 4G In all network mtn is the best,0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
176,Oyo South West MTN 4G In all network mtn is the best,0
280,Adamawa North East 9mobile 2G Very bad network,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
176,Oyo South West MTN 4G In all network mtn is the best,0
256,Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
176,Oyo South West MTN 4G In all network mtn is the best,0
280,Adamawa North East 9mobile 2G Very bad network,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
280,Adamawa North East 9mobile 2G Very bad network,0
176,Oyo South West MTN 4G In all network mtn is the best,0
280,Adamawa North East 9mobile 2G Very bad network,0
256,Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
176,Oyo South West MTN 4G In all network mtn is the best,0
176,Oyo South West MTN 4G In all network mtn is the best,0
176,Oyo South West MTN 4G In all network mtn is the best,0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
256,Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
280,Adamawa North East 9mobile 2G Very bad network,0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
176,Oyo South West MTN 4G In all network mtn is the best,0
280,Adamawa North East 9mobile 2G Very bad network,0
176,Oyo South West MTN 4G In all network mtn is the best,0
256,Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
176,Oyo South West MTN 4G In all network mtn is the best,0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
176,Oyo South West MTN 4G In all network mtn is the best,0
280,Adamawa North East 9mobile 2G Very bad network,0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
256,Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
280,Adamawa North East 9mobile 2G Very bad network,0
280,Adamawa North East 9mobile 2G Very bad network,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
176,Oyo South West MTN 4G In all network mtn is the best,0
176,Oyo South West MTN 4G In all network mtn is the best,0
280,Adamawa North East 9mobile 2G Very bad network,0
280,Adamawa North East 9mobile 2G Very bad network,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
256,Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
176,Oyo South West MTN 4G In all network mtn is the best,0
280,Adamawa North East 9mobile 2G Very bad network,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
176,Oyo South West MTN 4G In all network mtn is the best,0
176,Oyo South West MTN 4G In all network mtn is the best,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
176,Oyo South West MTN 4G In all network mtn is the best,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
280,Adamawa North East 9mobile 2G Very bad network,0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
256,Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
41,Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
280,Adamawa North East 9mobile 2G Very bad network,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
274,Adamawa North East Globacom 2G Very poor. Do not use!!,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
277,Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
280,Adamawa North East 9mobile 2G Very bad network,0
256,Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
280,Adamawa North East 9mobile 2G Very bad network,0
268,"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
